date,expiration,contractLength,type,strike,bid,ask,midpoint,blackScholesPrice,stockPriceAtExpiration,profitable,return
2018-06-01,2018-06-15,14,call,65.0,208.5,208.71,208.60500000000002,207.53453807600292,276.6,True,1.4357278109345435
2018-06-01,2018-06-15,14,call,70.0,203.49,203.71,203.60000000000002,202.54411792800315,276.6,True,1.473477406679764
2018-06-01,2018-06-15,14,call,75.0,198.51,198.72,198.615,197.55369778000335,276.6,True,1.5029076353749786
2018-06-01,2018-06-15,14,call,80.0,193.51,193.72,193.615,192.56327763200358,276.6,True,1.541719391576073
2018-06-01,2018-06-15,14,call,85.0,188.52,188.72,188.62,187.5728574840038,276.6,True,1.5798960873714443
2018-06-01,2018-06-15,14,call,90.0,183.52,183.73,183.625,182.58243733600403,276.6,True,1.6201497617426945
2018-06-01,2018-06-15,14,call,95.0,178.51,178.73,178.62,177.59201718800426,276.6,True,1.668346209830936
2018-06-01,2018-06-15,14,call,100.0,173.53,173.74,173.635,172.6015970400045,276.6,True,1.7076050335474022
2018-06-01,2018-06-15,14,call,105.0,168.53,168.75,168.64,167.61117689200472,276.6,True,1.7552182163188075
2018-06-01,2018-06-15,14,call,110.0,163.55,163.76,163.655,162.62075674400492,276.6,True,1.799517277198999
2018-06-01,2018-06-15,14,call,115.0,158.54,158.76,158.64999999999998,157.63033659600515,276.6,True,1.8594390167034642
2018-06-01,2018-06-15,14,call,120.0,153.56,153.76,153.66,152.63991644800535,276.6,True,1.9133151112846716
2018-06-01,2018-06-15,14,call,125.0,148.56,148.77,148.66500000000002,147.64949630000558,276.6,True,1.9742373793428187
2018-06-01,2018-06-15,14,call,130.0,143.56,143.77,143.66500000000002,142.6590761520058,276.6,True,2.0429471339574716
2018-06-01,2018-06-15,14,call,135.0,138.56,138.78,138.67000000000002,137.66865600400604,276.6,True,2.112929977644773
2018-06-01,2018-06-15,14,call,140.0,133.56,133.78,133.67000000000002,132.67823585600627,276.6,True,2.1919652876486917
2018-06-01,2018-06-15,14,call,145.0,128.58,128.79,128.685,127.6878157080065,276.6,True,2.265221276761099
2018-06-01,2018-06-15,14,call,150.0,123.57,123.79,123.68,122.6973955600067,276.6,True,2.3609314359637903
2018-06-01,2018-06-15,14,call,155.0,118.6,118.81,118.705,117.70697541200693,276.6,True,2.438818920854239
2018-06-01,2018-06-15,14,call,160.0,113.59,113.81,113.7,112.71655526400716,276.6,True,2.5505716798592966
2018-06-01,2018-06-15,14,call,165.0,108.61,108.82,108.715,107.72613511600738,276.6,True,2.653727636480724
2018-06-01,2018-06-15,14,call,170.0,103.6,103.82,103.71,102.73571496800758,276.6,True,2.786616526853755
2018-06-01,2018-06-15,14,call,175.0,98.63,98.84,98.735,97.74529482000781,276.6,True,2.901706588342557
2018-06-01,2018-06-15,14,call,180.0,93.62,93.84,93.73,92.75487467200804,276.6,True,3.061986557132208
2018-06-01,2018-06-15,14,call,181.0,92.63,92.84,92.735,91.75679064240808,276.6,True,3.089448428317273
2018-06-01,2018-06-15,14,call,182.0,91.63,91.84,91.735,90.75870661280814,276.6,True,3.123126396686132
2018-06-01,2018-06-15,14,call,183.0,90.64,90.84,90.74000000000001,89.76062258320817,276.6,True,3.1518624641833957
2018-06-01,2018-06-15,14,call,184.0,89.64,89.84,89.74000000000001,88.76253855360821,276.6,True,3.186984622242047
2018-06-01,2018-06-15,14,call,185.0,88.64,88.84,88.74000000000001,87.76445452400827,276.6,True,3.2228983547442116
2018-06-01,2018-06-15,14,call,186.0,87.64,87.85,87.745,86.7663704944083,276.6,True,3.253746652230917
2018-06-01,2018-06-15,14,call,187.0,86.63,86.85,86.74,85.76828646480834,276.6,True,3.297210053032082
2018-06-01,2018-06-15,14,call,188.0,85.63,85.85,85.74,84.7702024352084,276.6,True,3.3356659668766366
2018-06-01,2018-06-15,14,call,189.0,84.63,84.85,84.74,83.77211840560844,276.6,True,3.3750295020061696
2018-06-01,2018-06-15,14,call,190.0,83.63,83.85,83.74,82.7740343760085,276.6,True,3.415333174110375
2018-06-01,2018-06-15,14,call,191.0,82.64,82.85,82.745,81.77595034640854,276.6,True,3.450359538340707
2018-06-01,2018-06-15,14,call,192.0,81.65,81.85,81.75,80.77786631680857,276.6,True,3.4862385321101197
